CID,class,chi0v,chi0,VSA,vdw_area,Q_VSA_POS,Q_VSA_HYD,Kier1
11574718,0,16.77636,20.802753,426.10562,409.70331,409.70331,409.70331,23.658689
11588394,0,14.699009,18.518297,372.56244,359.43063,359.43063,359.43063,20.727041
11595532,0,14.685187,18.518297,375.20477,360.88211,360.88211,360.88211,20.727041
11603925,0,17.261578,21.509861,439.20764,422.34549,422.34549,422.34549,24.638672
11624721,0,15.185187,19.225405,388.50833,374.5824,374.5824,374.5824,21.702734
11682654,0,16.646223,20.802753,421.10477,407.84763,407.84763,407.84763,23.658689
11696578,0,15.723573,20.095648,403.67822,386.94601,386.94601,386.94601,22.68
11710340,0,15.223573,19.225405,386.0889,372.87759,372.87759,372.87759,21.702734
11710382,0,15.392295,19.225405,395.0314,378.1142,378.1142,378.1142,21.702734
11710382,0,15.392295,19.225405,398.08746,378.1142,378.1142,378.1142,21.702734
21037364,0,18.931641,22.880104,469.21881,455.89764,455.89764,455.89764,25.103674
22040410,0,16.448387,19.509861,400.96375,377.6557,377.6557,377.6557,21.240376
22040802,0,15.50899,19.509861,397.30792,375.57788,375.57788,375.57788,21.240376
22040802,0,15.50899,19.509861,394.36554,375.57788,375.57788,375.57788,21.240376
22040805,0,16.448387,19.509861,400.99628,377.6557,377.6557,377.6557,21.240376
22040857,0,16.11832,22.009861,404.97681,378.75861,378.75861,378.75861,24.134949
22040925,0,16.94223,20.216969,427.97409,398.42578,398.42578,398.42578,22.203125
22040937,0,17.065533,22.880104,419.24142,406.03754,406.03754,406.03754,25.103674
22040937,0,17.065533,22.880104,421.58789,406.03754,406.03754,406.03754,25.103674
22040978,0,17.395601,20.380104,421.6582,404.93466,404.93466,404.93466,22.203125
22041111,0,14.561777,18.639618,377.12518,348.29895,348.29895,348.29895,20.280001
22041112,0,16.235123,19.509861,411.62158,379.84866,379.84866,379.84866,21.240376
24784075,1,18.616705,23.424074,468.11945,431.40048,431.40048,431.40048,26.074074
24878669,0,17.377514,21.794317,435.27069,410.77167,410.77167,410.77167,24.134949
24878669,0,17.377514,21.794317,434.38217,410.77167,410.77167,410.77167,24.134949
24878670,0,18.08462,22.501425,454.31152,428.00375,428.00375,428.00375,25.103674
24878670,0,18.08462,22.501425,452.30328,428.00375,428.00375,428.00375,25.103674
24878671,0,17.64929,22.622746,443.53326,414.20728,414.20728,414.20728,24.68371
24878672,0,17.085381,22.078775,423.80457,389.23932,389.23932,389.23932,23.728395
24879140,0,14.185187,17.648054,363.43192,348.99649,348.99649,348.99649,19.753086
24879141,0,19.532974,24.622746,496.23578,478.85168,478.85168,478.85168,28.01939
24879141,0,19.532974,24.622746,496.47794,478.85168,478.85168,478.85168,28.01939
24879142,0,14.815325,18.35516,378.49228,368.59009,368.59009,368.59009,20.727041
24879143,0,17.146223,21.509861,439.3595,425.58554,425.58554,425.58554,24.638672
24879204,0,15.115939,19.225405,386.39185,372.9993,372.9993,372.9993,21.702734
24879205,0,16.878273,20.924074,423.31586,403.31354,403.31354,403.31354,23.168043
24879206,0,14.593436,18.35516,372.05743,364.00018,364.00018,364.00018,20.727041
24879206,0,14.593436,18.35516,370.87628,364.00018,364.00018,364.00018,20.727041
24879207,0,17.397299,20.924074,433.96738,406.16074,406.16074,406.16074,23.168043
24879208,0,16.748137,20.924074,419.00488,401.45786,401.45786,401.45786,23.168043
24879209,0,16.748137,20.924074,420.31769,401.45786,401.45786,401.45786,23.168043
24879260,0,17.59844,21.794317,437.21283,410.95407,410.95407,410.95407,24.134949
24879261,0,16.891335,21.087212,421.09821,393.72198,393.72198,393.72198,23.168043
24879261,0,16.891335,21.087212,419.03796,393.72198,393.72198,393.72198,23.168043
24879262,0,15.024187,19.225405,381.78128,370.26508,370.26508,370.26508,21.702734
24879263,0,15.780116,19.225405,393.34717,383.43729,383.43729,383.43729,21.702734
24879264,0,17.05447,21.509861,431.95746,422.85135,422.85135,422.85135,24.638672
24879326,0,17.040649,21.509861,430.56604,422.16309,422.16309,422.16309,24.638672
24879328,0,19.209171,24.078775,475.73264,460.30899,460.30899,460.30899,27.046019
24879330,0,14.185187,17.648054,357.49484,348.99649,348.99649,348.99649,19.753086
24879331,0,17.146223,21.509861,436.60233,425.58554,425.58554,425.58554,24.638672
24879390,0,14.685187,18.35516,370.88504,366.73441,366.73441,366.73441,20.727041
24879391,0,15.199009,19.225405,390.2081,377.16858,377.16858,377.16858,21.702734
24879392,0,15.115939,19.225405,386.53708,372.9993,372.9993,372.9993,21.702734
24879393,0,14.723573,18.35516,378.35294,365.8559,365.8559,365.8559,20.727041
24879393,0,14.723573,18.35516,379.74783,365.8559,365.8559,365.8559,20.727041
24879394,0,14.593436,18.35516,374.53922,364.00018,364.00018,364.00018,20.727041
24879395,0,17.694771,20.924074,431.07889,412.02255,412.02255,412.02255,23.168043
24879396,0,16.223574,20.216969,408.74173,388.01089,388.01089,388.01089,22.203125
24879462,0,17.299582,21.794317,430.36655,408.72571,408.72571,408.72571,24.134949
24879462,0,17.299582,21.794317,423.6983,408.72571,408.72571,408.72571,24.134949
24879463,0,16.748137,20.924074,418.38464,401.45786,401.45786,401.45786,23.168043
24879464,0,16.748137,20.924074,419.84949,401.45786,401.45786,401.45786,23.168043
24879465,0,17.59844,21.794317,435.85272,410.95407,410.95407,410.95407,24.134949
24879466,0,16.891335,21.087212,419.93497,393.72198,393.72198,393.72198,23.168043
24879467,0,16.891335,21.087212,421.12286,393.72198,393.72198,393.72198,23.168043
24879467,0,16.891335,21.087212,420.04449,393.72198,393.72198,393.72198,23.168043
24879527,0,18.032974,22.338287,455.76785,436.35413,436.35413,436.35413,25.103674
24879528,0,15.024187,19.225405,379.28705,370.26508,370.26508,370.26508,21.702734
24879528,0,15.024187,19.225405,381.21014,370.26508,370.26508,370.26508,21.702734
24879529,0,17.05447,21.509861,431.76843,422.85135,422.85135,422.85135,24.638672
24879530,0,16.55447,20.802753,417.7045,405.1134,405.1134,405.1134,23.658689
24879531,0,16.55447,20.802753,419.05286,405.1134,405.1134,405.1134,23.658689
24879531,0,16.55447,20.802753,418.39291,405.1134,405.1134,405.1134,23.658689
25093293,0,17.040649,21.509861,429.70706,422.16309,422.16309,422.16309,24.638672
25093294,0,17.377514,21.794317,439.14102,410.77167,410.77167,410.77167,24.134949
25093294,0,17.377514,21.794317,434.28717,410.77167,410.77167,410.77167,24.134949
42625164,0,16.135899,22.172998,391.05591,369.94846,369.94846,369.94846,24.134949
42625165,0,15.079354,21.302753,380.66083,352.36707,352.36707,352.36707,23.168043
42625165,0,15.079354,21.302753,380.16367,352.36707,352.36707,352.36707,23.168043
42625166,0,15.409422,18.802753,374.34506,351.26416,351.26416,351.26416,20.280001
42625244,0,14.229918,18.639618,366.00793,339.1395,339.1395,339.1395,20.280001
42625244,0,14.229918,18.639618,368.79568,339.1395,339.1395,339.1395,20.280001
42625325,0,14.655805,18.85516,364.08652,341.88177,341.88177,341.88177,20.280001
42625329,0,14.725849,18.148054,356.39117,332.55392,332.55392,332.55392,19.322235
42625413,0,14.956419,19.725405,369.98593,346.29095,346.29095,346.29095,21.240376
42626267,0,14.323425,19.509861,363.33585,344.05453,344.05453,344.05453,21.240376
42626268,0,17.929964,23.492989,447.1611,427.14786,427.14786,427.14786,25.641273
42626269,0,19.185894,25.992989,472.91312,453.19833,453.19833,453.19833,28.525877
42626338,0,18.392675,22.880104,458.04843,447.24402,447.24402,447.24402,25.103674
44199408,1,15.030948,19.604084,371.0578,349.93503,349.93503,349.93503,21.702734
44199408,1,15.030948,19.604084,368.90933,349.93503,349.93503,349.93503,21.702734
44199425,1,14.900811,19.604084,368.76236,346.57425,346.57425,346.57425,21.702734
44199425,1,14.900811,19.604084,367.67136,346.57425,346.57425,346.57425,21.702734
44223174,1,17.489059,20.474327,404.43982,383.44485,383.44485,383.44485,22.68
44223206,1,16.231709,21.181435,396.24164,378.81006,378.81006,378.81006,23.658689
44223280,1,15.786877,19.604084,384.40121,363.10724,363.10724,363.10724,21.702734
44223282,1,16.660704,21.181435,412.89584,384.3992,384.3992,384.3992,23.658689
44223283,1,14.730333,18.733841,372.28726,345.52585,345.52585,345.52585,20.727041
44223468,1,16.231709,21.181435,397.71115,378.81006,378.81006,378.81006,23.658689
44223469,1,16.532324,22.051678,401.3775,383.21924,383.21924,383.21924,24.638672
44223470,1,15.931094,20.31119,391.23547,374.40085,374.40085,374.40085,22.68
44223471,1,16.987638,21.181435,409.27515,391.98227,391.98227,391.98227,23.658689
44223627,1,18.340349,23.587212,455.31479,420.43329,420.43329,420.43329,26.074074
44223650,1,16.787422,20.474327,392.1315,375.93103,375.93103,375.93103,22.68
44223675,1,18.640963,24.457455,458.11392,424.84247,424.84247,424.84247,27.046019
44223692,1,15.823461,20.474327,387.91418,363.80634,363.80634,363.80634,22.68
44223693,1,16.815023,21.465891,414.7453,370.99207,370.99207,370.99207,23.168043
44223890,1,16.530567,21.181435,408.80902,381.03842,381.03842,381.03842,23.658689
44223912,1,16.917559,20.474327,398.45456,379.29181,379.29181,379.29181,22.68
44223914,1,14.730333,18.733841,369.71179,345.52585,345.52585,345.52585,20.727041
44223915,1,15.486262,18.733841,382.53842,358.69806,358.69806,358.69806,20.727041
44224372,1,9.6521273,13.225768,249.68941,243.51347,243.51347,243.51347,14.409972
44230849,1,18.210213,23.587212,444.46616,418.57758,418.57758,418.57758,26.074074
44230852,1,15.823461,20.474327,386.43628,365.31143,365.31143,365.31143,22.68
44230853,1,18.080074,23.587212,444.72147,416.72189,416.72189,416.72189,26.074074
44230854,1,18.080074,23.587212,444.51526,416.72189,416.72189,416.72189,26.074074
44230986,1,18.806589,23.587212,462.66492,433.18137,433.18137,433.18137,26.074074
44230987,1,18.806589,23.587212,464.01712,433.18137,433.18137,433.18137,26.074074
44230990,1,18.510826,24.457455,448.82047,422.98679,422.98679,422.98679,27.046019
44231120,1,19.132862,24.457455,465.79208,435.80966,435.80966,435.80966,27.046019
44231246,1,18.510826,24.457455,446.07022,422.98679,422.98679,422.98679,27.046019
44231489,1,18.32346,22.974327,446.93591,428.39911,428.39911,428.39911,25.619835
44231490,1,17.40081,22.051678,427.6958,401.12067,401.12067,401.12067,24.638672
44231491,1,16.530567,21.181435,408.70154,382.54352,382.54352,382.54352,23.658689
44231605,1,17.522131,22.172998,438.39539,389.72925,389.72925,389.72925,24.134949
44231722,1,18.510826,24.457455,449.84903,422.98679,422.98679,422.98679,27.046019
46873221,0,29.416283,34.639252,707.28247,707.46094,707.46094,707.46094,39.213017
46873324,0,31.744711,37.045029,766.89648,766.9375,766.9375,766.9375,41.628807
46873428,0,27.916664,33.061901,674.42865,653.60541,653.60541,653.60541,37.259998
46873532,0,28.178423,33.837925,684.57306,676.09558,676.09558,676.09558,37.747242
50994972,1,16.481918,22.974327,401.50751,383.34232,383.34232,383.34232,25.619835
50994975,1,16.348024,21.181435,404.83536,387.85266,387.85266,387.85266,23.658689
50995160,1,18.123665,22.880104,446.71509,420.97226,420.97226,420.97226,25.103674
50997675,1,16.256273,21.181435,397.51471,385.11844,385.11844,385.11844,23.658689
50997676,1,14.925375,19.604084,369.04709,352.88266,352.88266,352.88266,21.702734
50997677,1,16.839588,21.465891,417.03882,377.30045,377.30045,377.30045,23.168043
50997678,1,16.555132,21.181435,409.78506,387.3468,387.3468,387.3468,23.658689
56658295,1,15.652983,19.604084,387.37372,362.75793,362.75793,362.75793,21.702734
56658298,1,14.957734,21.396976,361.03595,345.93054,345.93054,345.93054,23.658689
56661794,1,17.261993,21.88854,422.02222,406.63666,406.63666,406.63666,24.638672
56661797,1,15.116018,20.31119,378.34421,354.34424,354.34424,354.34424,22.68
56661798,1,15.063948,19.76722,365.37601,357.61346,357.61346,357.61346,21.702734
56661799,1,15.771054,20.474327,387.57645,374.84555,374.84555,374.84555,22.68
56661815,1,17.572708,24.38854,427.33856,409.26971,409.26971,409.26971,27.585306
56665241,1,16.687023,20.31119,403.25626,387.57306,387.57306,387.57306,22.68
56665242,1,15.030948,19.604084,371.04758,349.93503,349.93503,349.93503,21.702734
56672170,1,15.315405,19.88854,379.89087,339.88867,339.88867,339.88867,21.240376
56672171,1,15.892375,20.595648,392.31812,363.45413,363.45413,363.45413,22.203125
56675551,1,16.542805,19.604084,398.68961,376.27945,376.27945,376.27945,21.702734
56675552,1,15.652983,19.604084,390.04639,362.75793,362.75793,362.75793,21.702734
56675556,1,15.738054,20.31119,393.43323,367.16711,367.16711,367.16711,22.68
56675557,1,15.901191,20.474327,390.49796,368.51218,368.51218,368.51218,22.68
56675558,1,14.608297,19.181435,362.16159,321.31152,321.31152,321.31152,20.280001
56682202,1,17.743567,21.181435,418.86938,405.15448,405.15448,405.15448,23.658689
56682202,1,17.743567,21.181435,423.00082,405.15448,405.15448,405.15448,23.658689
56682205,1,15.664841,22.104084,378.5412,363.1626,363.1626,363.1626,24.638672
56682205,1,15.664841,22.104084,379.43619,363.1626,363.1626,363.1626,24.638672
58164447,0,16.139162,19.88854,399.46289,360.01532,360.01532,360.01532,21.240376
60835687,0,10.813844,13.568549,275.46124,252.90791,252.90791,252.90791,13.959184
67971007,1,15.848024,20.474327,387.28653,370.11475,370.11475,370.11475,22.68
68032952,0,20.947008,25.449018,511.52548,494.13071,494.13071,494.13071,27.5625
68032961,0,24.086287,30.561903,595.67004,580.63104,580.63104,580.63104,34.337708
68032969,0,29.700741,34.92371,710.81036,696.06952,696.06952,696.06952,38.716049
68032973,0,27.723959,32.517933,659.39063,648.7854,648.7854,648.7854,36.284882
68032974,0,28.431065,33.22504,678.53925,666.01752,666.01752,666.01752,37.259998
68032975,0,29.422628,34.216602,707.6825,673.20325,673.20325,673.20325,37.747242
68032976,0,27.508415,32.354797,659.84821,638.60168,638.60168,638.60168,36.284882
68032977,0,26.094202,30.940582,630.28064,604.13751,604.13751,604.13751,34.337708
68032984,0,29.845278,34.639252,717.32007,700.48169,700.48169,700.48169,39.213017
68032989,0,30.141029,34.639252,669.49396,713.43579,713.43579,713.43579,39.213017
68035146,0,8.474123,9.3009653,204.05963,194.99806,194.99806,194.99806,10.083333
68035580,0,21.762024,27.026369,531.91394,529.51385,529.51385,529.51385,29.490931
68035581,0,24.04648,29.310825,594.93738,582.55511,582.55511,582.55511,32.395061
68035610,0,23.961788,28.156126,596.43127,592.78735,592.78735,592.78735,31.925171
68035610,0,23.961788,28.156126,595.29529,592.78735,592.78735,592.78735,31.925171
68035675,0,22.340414,28.492989,538.64417,518.95538,518.95538,518.95538,31.425619
68035677,0,23.011988,29.241911,563.13318,566.75055,566.75055,566.75055,32.904274
68035678,0,23.840414,30.070339,584.9577,572.59125,572.59125,572.59125,33.365784
68035681,0,21.633307,27.785881,509.65201,501.72327,501.72327,501.72327,30.457544
68035685,0,22.064774,28.371668,544.21594,539.47162,539.47162,539.47162,31.925171
68035884,0,19.953352,24.200096,495.14572,483.84409,483.84409,483.84409,26.60092
68035892,0,19.246246,23.492989,482.14615,466.612,466.612,466.612,25.641273
68035921,0,22.095682,28.156126,552.36847,542.92725,542.92725,542.92725,31.925171
68035930,0,17.994453,22.785881,450.84979,417.38531,417.38531,417.38531,24.68371
68035941,0,22.217003,28.277445,551.18683,531.53583,531.53583,531.53583,31.425619
68035953,0,23.961788,28.156126,591.76855,592.78735,592.78735,592.78735,31.925171
68035958,0,22.095682,28.156126,548.96051,542.92725,542.92725,542.92725,31.925171
68035958,0,22.095682,28.156126,553.76697,542.92725,542.92725,542.92725,31.925171
68035996,0,17.058165,20.501425,430.45361,382.78271,382.78271,382.78271,21.82526
68035998,0,18.173521,21.915638,460.24875,416.36359,416.36359,416.36359,23.728395
68036000,0,18.47238,21.915638,461.77692,417.24689,417.24689,417.24689,23.728395
68036002,0,16.351059,19.794317,418.022,365.55063,365.55063,365.55063,20.877869
68036006,0,19.11256,24.578775,454.18726,428.89145,428.89145,428.89145,26.60092
68036010,0,21.876003,25.992989,540.76465,510.52795,510.52795,510.52795,28.525877
68036011,0,20.633688,26.863232,504.71082,475.67157,475.67157,475.67157,29.490931
68036029,0,21.319668,26.863232,506.61395,499.75943,499.75943,499.75943,29.490931
68036036,0,21.198347,26.741911,498.64172,511.15085,511.15085,511.15085,29.969999
68036047,0,20.61256,26.156126,483.73282,482.52734,482.52734,482.52734,28.525877
68036047,0,20.61256,26.156126,487.89258,482.52734,482.52734,482.52734,28.525877
68036056,0,22.28425,26.700096,547.99554,525.53168,525.53168,525.53168,29.490931
68036056,0,22.28425,26.700096,545.69769,525.53168,525.53168,525.53168,29.490931
68036063,0,20.418144,26.700096,505.98074,475.67157,475.67157,475.67157,29.490931
68036063,0,20.418144,26.700096,505.4454,475.67157,475.67157,475.67157,29.490931
68036069,0,19.520809,25.285881,464.60751,443.89517,443.89517,443.89517,27.5625
68036082,0,18.880627,22.622746,469.25592,432.25061,432.25061,432.25061,24.68371
68036096,0,24.083109,28.277445,598.88281,581.39594,581.39594,581.39594,31.425619
68036106,0,19.689911,25.285881,473.76437,455.11151,455.11151,455.11151,27.5625
68036112,0,17.961409,21.957455,447.17419,421.43616,421.43616,421.43616,24.134949
68036145,0,22.521709,26.319262,530.78479,516.10364,516.10364,516.10364,28.525877
68036151,0,17.175655,21.915638,434.70874,389.92041,389.92041,389.92041,23.728395
68036359,0,22.260166,29.269009,542.23047,521.82623,521.82623,521.82623,31.961069
68036416,0,24.903362,31.432146,606.94684,606.05432,606.05432,606.05432,35.310764
68039299,0,20.276945,23.587212,497.0629,486.36154,486.36154,486.36154,26.074074
68039304,0,20.276945,23.587212,497.25348,485.01648,485.01648,485.01648,26.074074
68039308,0,19.691158,23.001425,484.961,457.73804,457.73804,457.73804,24.68371
68039319,0,17.992487,21.302753,434.44342,433.32022,433.32022,433.32022,23.168043
68039398,0,21.935781,27.785881,529.1864,517.04602,517.04602,517.04602,30.457544
68039401,0,19.333488,24.509861,468.65869,463.77988,463.77988,463.77988,27.046019
68039406,0,19.406702,22.716969,477.42999,467.78439,467.78439,467.78439,25.103674
68039406,0,19.406702,22.716969,475.07306,467.78439,467.78439,467.78439,25.103674
68039413,0,20.040594,25.216969,487.99557,481.01196,481.01196,481.01196,28.01939
68039414,0,21.105371,24.415638,514.42993,490.85715,490.85715,490.85715,26.60092
68039434,0,18.984053,22.294317,465.93994,439.16089,439.16089,439.16089,23.728395
68039437,0,20.984053,24.294317,517.47736,503.5936,503.5936,503.5936,27.046019
68039579,0,20.806513,24.415638,511.94437,488.62878,488.62878,488.62878,26.60092
68186577,0,23.138374,29.172998,564.61548,548.7804,548.7804,548.7804,33.501488
68186612,0,24.418694,28.534805,596.27002,558.62561,558.62561,558.62561,31.925171
68186665,0,23.293074,29.896612,559.93158,538.95886,538.95886,538.95886,33.884296
70661449,0,24.693048,29.241911,605.79297,573.27997,573.27997,573.27997,32.904274
70661456,0,25.278835,29.827698,613.93896,601.9035,601.9035,601.9035,34.489796
70674635,0,18.117224,22.501425,454.98563,433.96207,433.96207,433.96207,25.103674
70674636,0,19.373154,25.001425,478.8252,460.01254,460.01254,460.01254,28.01939
70674636,0,19.373154,25.001425,477.57431,460.01254,460.01254,460.01254,28.01939
70674989,0,20.464905,25.871668,507.18781,498.64471,498.64471,498.64471,28.994083
70675217,0,20.320368,25.871668,493.85504,487.2915,487.2915,487.2915,28.994083
70675217,0,20.320368,25.871668,495.46127,487.2915,487.2915,487.2915,28.994083
70675477,0,21.412119,26.741911,521.71588,525.92365,525.92365,525.92365,29.969999
70683665,1,15.030948,19.604084,370.79895,349.93503,349.93503,349.93503,21.702734
70909637,0,21.792307,26.156126,533.5451,524.89948,524.89948,524.89948,28.525877
70909643,0,22.831272,27.026369,556.11676,551.80878,551.80878,551.80878,29.490931
70909643,0,22.831272,27.026369,558.46521,551.80878,551.80878,551.80878,29.490931
71610590,0,18.7253,22.838287,461.89929,421.83063,421.83063,421.83063,24.68371
71610726,0,14.717057,18.924074,370.72833,334.12689,334.12689,334.12689,19.933594
71610727,0,14.178092,17.93251,360.52487,333.86816,333.86816,333.86816,19.322235
71610848,0,15.255443,19.794317,382.71332,346.49048,346.49048,346.49048,20.877869
71610851,0,15.547956,19.794317,382.40503,352.66238,352.66238,352.66238,20.877869
71610852,0,15.547956,19.794317,385.53329,354.16748,354.16748,354.16748,20.877869
71611103,0,16.719334,21.302753,411.41022,389.93637,389.93637,389.93637,23.168043
71611386,0,14.678092,18.802753,370.91388,347.93658,347.93658,347.93658,20.280001
71611387,0,15.547956,19.794317,383.59274,352.66238,352.66238,352.66238,20.877869
71611388,0,15.364452,20.380104,388.10303,362.0065,362.0065,362.0065,22.203125
71611389,0,15.787102,21.250347,390.4921,371.42871,371.42871,371.42871,23.168043
71611524,0,15.470605,19.672998,386.00125,361.13019,361.13019,361.13019,21.240376
71611665,0,16.648329,20.269375,411.4371,385.80432,385.80432,385.80432,22.203125
71611667,0,15.604499,19.672998,381.18066,361.47952,361.47952,361.47952,21.240376
71611667,0,15.604499,19.672998,382.90024,361.47952,361.47952,361.47952,21.240376
71611668,0,15.734635,21.302753,387.59454,364.32782,364.32782,364.32782,23.168043
71611669,0,14.547956,18.802753,369.38385,343.8981,343.8981,343.8981,20.280001
71611670,0,15.53525,19.672998,382.59833,355.85876,355.85876,355.85876,21.240376
71611807,0,14.478706,18.802753,363.00647,338.27734,338.27734,338.27734,20.280001
71611810,0,12.847195,16.35516,330.75446,301.63235,301.63235,301.63235,17.415638
71611812,0,15.401357,19.672998,383.40314,355.50943,355.50943,355.50943,21.240376
71611948,0,15.53525,19.672998,378.87964,355.85876,355.85876,355.85876,21.240376
71612082,0,16.217058,19.794317,404.60815,372.6456,372.6456,372.6456,20.877869
71612082,0,16.217058,19.794317,401.51154,372.6456,372.6456,372.6456,20.877869
71612201,0,15.033554,19.794317,368.59552,338.53497,338.53497,338.53497,20.877869
71612204,0,15.478706,19.794317,378.28366,347.04163,347.04163,347.04163,20.877869
71612330,0,14.147808,18.216969,353.36539,314.80585,314.80585,314.80585,18.992716
71612331,0,16.100742,19.794317,393.09622,359.86453,359.86453,359.86453,20.877869
71612333,0,16.100742,19.794317,394.82062,359.86453,359.86453,359.86453,20.877869
71612450,0,15.478706,19.794317,377.0863,347.04163,347.04163,347.04163,20.877869
71612451,0,15.478706,19.794317,381.30884,347.04163,347.04163,347.04163,20.877869
71612451,0,15.478706,19.794317,382.66528,347.04163,347.04163,347.04163,20.877869
71612579,0,14.178092,17.93251,360.84601,333.86816,333.86816,333.86816,19.322235
77014407,0,23.353367,31.526369,565.95862,571.15851,571.15851,571.15851,35.846882
77014413,0,24.349936,32.898766,601.17181,581.95605,581.95605,581.95605,37.259998
77014416,0,22.406153,30.656126,540.03992,543.87958,543.87958,543.87958,34.865185
86766626,0,14.547956,18.802753,364.67065,343.8981,343.8981,343.8981,20.280001
86766627,0,15.878854,20.380104,395.43439,376.13391,376.13391,376.13391,22.203125
86766628,0,15.546995,19.794317,383.22192,352.48419,352.48419,352.48419,20.877869
86766631,0,15.470605,19.672998,384.65149,361.13019,361.13019,361.13019,21.240376
86766633,0,15.43164,19.794317,382.05856,347.85013,347.85013,347.85013,20.877869
86766634,0,15.43164,19.794317,380.15228,347.85013,347.85013,347.85013,20.877869
86766635,0,14.448422,19.087212,358.40109,319.21503,319.21503,319.21503,19.933594
86766638,0,15.216097,19.208532,369.19147,329.01266,329.01266,329.01266,19.66782
86766638,0,15.216097,19.208532,369.81534,329.01266,329.01266,329.01266,19.66782
86766641,0,15.678092,19.794317,392.2226,354.51807,354.51807,354.51807,20.877869
86766646,0,15.608843,19.794317,386.91254,348.89734,348.89734,348.89734,20.877869
86766648,0,14.847195,18.924074,375.21628,335.98257,335.98257,335.98257,19.933594
86766648,0,14.847195,18.924074,376.87988,335.98257,335.98257,335.98257,19.933594
86766650,0,16.216476,20.501425,401.69547,366.51358,366.51358,366.51358,21.82526
86766650,0,16.216476,20.501425,402.63132,366.51358,366.51358,366.51358,21.82526
86766653,0,14.478706,18.802753,364.57788,338.27734,338.27734,338.27734,20.280001
86766654,0,16.941221,20.716969,410.08188,371.96585,371.96585,371.96585,21.82526
86766658,0,14.347195,18.216969,360.77304,322.28229,322.28229,322.28229,18.992716
86766660,0,16.604498,20.664562,402.02356,370.24377,370.24377,370.24377,21.82526
86766662,0,18.072735,22.880104,443.89362,417.10287,417.10287,417.10287,25.103674
86766668,0,14.779321,19.672998,359.8302,342.68655,342.68655,342.68655,21.240376
86766670,0,15.84857,20.664562,388.58676,357.07156,357.07156,357.07156,21.82526
86766679,0,15.178092,18.924074,378.3226,342.63245,342.63245,342.63245,19.933594
86766683,0,14.086341,17.93251,358.22177,331.13394,331.13394,331.13394,19.322235
86766693,0,14.504966,18.965891,354.22781,328.03217,328.03217,328.03217,20.280001
